161,110
62,230
214,93
222,102
42,107
37,104
113,182
42,112
182,90
110,121
186,121
52,176
103,120
165,135
123,100
136,16
74,65
192,159
94,174
146,164
134,134
-7,178
161,86
189,116
127,142
75,200
30,107
57,194
127,131
65,107
57,178
130,163
47,134
116,175
150,152
121,209
126,155
130,163
107,119
40,245
164,257
150,122
55,216
22,58
133,103
40,121
55,238
21,154
168,128
183,233
53,256
136,91
160,260
29,127
103,120
132,182
152,301
119,162
71,152
59,204
75,172
44,174
23,292
34,156
111,170
82,103
100,123
76,154
73,266
39,217
22,153
172,143
192,57
66,171
154,139
186,101
74,133
205,162
92,151
164,187
66,155
116,164
171,83
127,43
81,238
161,103
123,119
73,152
103,128
235,44
146,130
178,102
85,84
26,213
170,120
204,77
134,166
87,158
168,122
195,81
93,177
28,243
